callsign,frequency,site,state,county_state,latitude,longitude,county,county_label,county_geoid
KEC50,162.475,Mangonia Park,FL,FL,26.749722,-80.0675,Palm Beach,Palm Beach County,12099
KEC55,162.550,Crowley,TX,TX,32.536694,-97.413,Johnson,Johnson County,48251
KEC56,162.400,Dallas,TX,TX,32.901278,-96.6872,Dallas,Dallas County,48113
KEC57,162.550,Fairplay,CA,CA,38.5806,-120.615,El Dorado,El Dorado County,06017
KEC58,162.400,Erie,NY,PA,42.063972,-80.005444,Erie,Erie County,42049
KEC59,162.550,Wichita,KS,KS,37.750611,-97.303667,Sedgwick,Sedgwick County,20173
KEC60,162.400,Delafield,WI,WI,43.028272,-88.392525,Waukesha,Waukesha County,55133
KEC61,162.550,Mobile,AL,AL,30.659444,-87.8925,Baldwin,Baldwin County,01003
KEC62,162.400,Mt. Woodson,CA,CA,33.0089,-116.972194,San Diego,San Diego County,06073
KEC63,162.550,Southfield,MI,MI,42.483056,-83.205556,Oakland,Oakland County,26125
KEC65,162.550,Minneapolis,MN,MN,44.968944,-93.207833,Hennepin,Hennepin County,27053
KEC73,162.550,Camp Edwards,MA,MA,41.707729,-70.564406,Barnstable,Barnstable County,25001
KEC74,162.550,Indianapolis,IN,IN,39.7675,-86.0025,Marion,Marion County,18097
KEC76,162.550,Glendale,CO,CO,39.692087,-104.936663,Denver,Denver County,08031
KEC77,162.400,Wathena,KS,KS,39.709639,-95.0425,Doniphan,Doniphan County,20043
KEC78,162.550,Bacchus,UT,UT,40.6272,-112.0572,Salt Lake,Salt Lake County,49035
KEC80,162.550,Stone Mtn.,GA,GA,33.80525,-84.144333,DeKalb,DeKalb County,13089
KEC81,162.550,Spring Creek,AK,AK,60.089345,-149.352763,Kenai Peninsula,Kenai Peninsula Borough,02122
KEC82,162.400,Mt. Pierce,CA,CA,40.4175,-124.119167,Humboldt,Humboldt County,06023
KEC83,162.400,Pikesville,DC,MD,39.386349,-76.730772,Baltimore,Baltimore County,24005
KEC84,162.400,Glenburnie Garden,NC,NC,35.1344,-77.0631,Craven,Craven County,37049
KEC85,162.400,Ridgeland,GA,SC,32.3289,-80.9378,Jasper,Jasper County,45053
KEC86,162.400,Milton,AL,FL,30.588611,-87.070556,Santa Rosa,Santa Rosa County,12113
